game_id,visit,inning,bat_team,outs,batter_id,runner_1b,runner_2b,runner_3b,event,col_7,col_8,team_iter,year,base_state,tagup_success,tagup_runs,re0,next_inning,next_bat_team,next_outs,next_base_state,re1,delta_run_exp,teamname,chosen_runner_strategy,adv_result
MIL202307080,CIN,9,0,0,indij001,mclam001,,friet001,9/SF/L9.3-H,,,MIL,2023,101,True,1,1.591,9.0,0.0,1.0,100,1.526,-0.06499999999999995,CIN,[3],[1]
MIL202307210,ATL,2,0,0,ozunm001,murps001,,olsom001,9/SF/F89D.3-H,,,MIL,2023,101,True,1,1.591,2.0,0.0,1.0,100,1.526,-0.06499999999999995,ATL,[3],[1]
MIL202307210,ATL,5,1,0,wiemj001,perkb002,turab002,,7/F78,,,MIL,2023,110,False,0,0.923,5.0,1.0,1.0,110,0.923,0.0,MIL,[],[]
MIL202307220,ATL,5,1,0,turab002,,millo002,frels001,8/SF/L8XD+.3-H;2-3,,,MIL,2023,011,True,1,1.409,5.0,1.0,1.0,001,1.968,0.5589999999999999,MIL,"[3, 2]","[1, 1]"
MIL202307220,ATL,6,1,1,millo002,frels001,monaa001,,7/L78,,,MIL,2023,110,False,0,0.443,6.0,1.0,2.0,110,0.443,0.0,MIL,[],[]
MIL202307220,ATL,8,1,1,frels001,monaa001,,adamw002,9/SF/L9.3-H(UR);1-2(E9/TH),,,MIL,2023,101,True,1,0.498,8.0,1.0,2.0,010,1.327,0.829,MIL,"[3, 1]","[1, 1]"
MIL202307230,ATL,4,1,1,millo002,carav001,,frels001,8/SF/F89XD.3-H,,,MIL,2023,101,True,1,0.498,4.0,1.0,2.0,100,1.227,0.7290000000000001,MIL,[3],[1]
MIL202307240,CIN,2,1,0,turab002,millo002,monaa001,,9/F89D.2-3;1-2,,,MIL,2023,110,False,0,0.923,2.0,1.0,1.0,011,1.409,0.486,MIL,"[2, 1]","[1, 1]"
MIL202307250,CIN,8,0,1,indij001,fralj001,,mclam001,7/F78S,,,MIL,2023,101,False,0,0.498,8.0,0.0,2.0,101,0.498,0.0,CIN,[],[]
MIL202308030,PIT,4,1,1,contw002,yelic001,wiemj001,,8/L89D,,,MIL,2023,110,False,0,0.443,4.0,1.0,2.0,110,0.443,0.0,MIL,[],[]
MIL202308030,PIT,5,1,1,monaa001,canhm001,frels001,,7/L7,,,MIL,2023,110,False,0,0.443,5.0,1.0,2.0,110,0.443,0.0,MIL,[],[]
MIL202308040,PIT,1,1,1,frels001,,santc002,contw002,7/SF/L7.3-H,,,MIL,2023,011,True,1,0.59,1.0,1.0,2.0,010,1.327,0.737,MIL,[3],[1]
MIL202308050,PIT,8,0,1,davih001,mccua001,palaj001,,7/F7,,,MIL,2023,110,False,0,0.443,8.0,0.0,2.0,110,0.443,0.0,PIT,[],[]
MIL202308060,PIT,9,0,1,hayek001,suwij001,rivaa001,,8/L8XD+.2-3(E6/TH);1-2,,,MIL,2023,110,False,0,0.443,9.0,0.0,2.0,011,0.59,0.14699999999999996,PIT,"[2, 1]","[1, 1]"
MIL202308220,MIN,4,0,0,lewir003,corrc001,luplj001,,8/F8,,,MIL,2023,110,False,0,0.923,4.0,0.0,1.0,110,0.923,0.0,MIN,[],[]
MIL202308230,MIN,1,0,0,corrc001,solad001,,julie001,8/SF/F8D.3-H,,,MIL,2023,101,True,1,1.591,1.0,0.0,1.0,100,1.526,-0.06499999999999995,MIN,[3],[1]
MIL202308230,MIN,1,1,0,santc002,contw002,yelic001,,8/F89XD.2-3,,,MIL,2023,110,False,0,0.923,1.0,1.0,1.0,101,1.591,0.6679999999999999,MIL,[2],[1]
